productRate,buyerRate,rate,lastOrder
60d1c19de0c69a23fa2a59c5,60817365be8a2f0cba7f7640,50,60d1c616e0c69a23fa2a59cf
60d1c19de0c69a23fa2a59c5,60817365be8a2f0cba7f7640,50,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,70,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,70,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,80,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,70,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,60,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,90,60d1c616e0c69a23fa2a59cf
60d1c616e0c69a23fa2a59cf,60817365be8a2f0cba7f7640,100,60d1c616e0c69a23fa2a59cf
60ef1ca8a5ddd802f1dfa07a,60dc8cff14cc353d219f6a5d,60,
60d1b857e0c69a23fa2a59b6,60817365be8a2f0cba7f7640,60,60d1c616e0c69a23fa2a59cf
60d1b857e0c69a23fa2a59b6,60817365be8a2f0cba7f7640,90,60d1c616e0c69a23fa2a59cf
60d1bc10e0c69a23fa2a59bb,60817365be8a2f0cba7f7640,100,60d1c616e0c69a23fa2a59cf
60d1c3cde0c69a23fa2a59ca,60dc8cff14cc353d219f6a5d,100,
60d1c19de0c69a23fa2a59c5,60dc8cff14cc353d219f6a5d,80,
60d1c19de0c69a23fa2a59c5,60f5720244c9574b8121f8d4,100,
60d1b857e0c69a23fa2a59b6,60f5720244c9574b8121f8d4,90,
60ba61d95cd7983c087b8fe9,60f5720244c9574b8121f8d4,90,
60d1b073e0c69a23fa2a59ac,60f5720244c9574b8121f8d4,90,
60cf57eae0c69a23fa2a5989,60f5720244c9574b8121f8d4,100,
60cb142cf8e6207c4ec6539e,60f5720244c9574b8121f8d4,100,
60ef1ca8a5ddd802f1dfa07a,60817365be8a2f0cba7f7640,60,60d1c616e0c69a23fa2a59cf
60d1b857e0c69a23fa2a59b6,60f2d42364b8cb68d9875891,80,
60d1bc10e0c69a23fa2a59bb,60f2d42364b8cb68d9875891,80,
60ef1ca8a5ddd802f1dfa07a,60dc8cff14cc353d219f6a5d,100,
60d1c3cde0c69a23fa2a59ca,60a8a54cd335722a3e98be79,90,60d1b857e0c69a23fa2a59b6
60d1c616e0c69a23fa2a59cf,60a8a54cd335722a3e98be79,80,60d1b857e0c69a23fa2a59b6
60d1bf09e0c69a23fa2a59c0,60a8a54cd335722a3e98be79,80,60d1b857e0c69a23fa2a59b6
60d1b857e0c69a23fa2a59b6,60a8a54cd335722a3e98be79,100,60d1b857e0c69a23fa2a59b6
60db3fe715347c247718ad28,60dc8cff14cc353d219f6a5d,70,
60d1c19de0c69a23fa2a59c5,60817365be8a2f0cba7f7640,100,60d1c616e0c69a23fa2a59cf
60d1c19de0c69a23fa2a59c5,60817365be8a2f0cba7f7640,80,60d1c616e0c69a23fa2a59cf
60cf6232e0c69a23fa2a599d,60a8a54cd335722a3e98be79,80,60d1b857e0c69a23fa2a59b6
60d1b073e0c69a23fa2a59ac,60a8a54cd335722a3e98be79,100,60d1b857e0c69a23fa2a59b6
60cc8dd4f8e6207c4ec653d5,60a8a54cd335722a3e98be79,100,60d1b857e0c69a23fa2a59b6
60cca3f6f8e6207c4ec653f3,60a8a54cd335722a3e98be79,100,60d1b857e0c69a23fa2a59b6
